Location: Houston, Tennessee, Label: 1.4070090055465698
Location: Atoka, Oklahoma, Label: 1.3996849060058594
Location: Lee, Virginia, Label: 1.3451043367385864
Location: Bourbon, Kentucky, Label: 1.3421978950500488
Location: Boyle, Kentucky, Label: 1.324876070022583
Location: Logan, Arkansas, Label: 1.3157870769500732
Location: Smith, Tennessee, Label: 1.284049153327942
Location: Roane, Tennessee, Label: 1.2373512983322144
Location: Wilson, Tennessee, Label: 1.220217227935791
Location: Walker, Georgia, Label: 1.209809422492981
Location: Blount, Tennessee, Label: 1.166704535484314
Location: Sullivan, Tennessee, Label: 1.1398407220840454
Location: Callahan, Texas, Label: 1.0805779695510864
Location: Jones, Texas, Label: 1.0426762104034424
Location: Hemphill, Texas, Label: 1.026198387145996
Location: Collingsworth, Texas, Label: 1.0217831134796143
Location: Barren, Kentucky, Label: 1.000437617301941
Location: Bowie, Texas, Label: 0.9791014790534973
Location: Union, Kentucky, Label: 0.9500337839126587
Location: Crawford, Arkansas, Label: 0.9466295838356018
Location: Madison, Arkansas, Label: 0.9425373673439026
Location: Dickens, Texas, Label: 0.9272933602333069
Location: Collin, Texas, Label: 0.9186711311340332
Location: Jefferson, Tennessee, Label: 0.8785132169723511
Location: Woods, Oklahoma, Label: 0.8691860437393188
Location: Scurry, Texas, Label: 0.8597933053970337
Location: Craig, Oklahoma, Label: 0.7502992749214172
Location: Major, Oklahoma, Label: 0.72086501121521
Location: Breckinridge, Kentucky, Label: 0.6876351833343506
Location: Delaware, Oklahoma, Label: 0.6771994829177856
Location: Stephens, Oklahoma, Label: 0.6771383285522461
Location: Gray, Texas, Label: 0.6648833751678467
Location: Johnson, Arkansas, Label: 0.6433911919593811
Location: Carroll, Kentucky, Label: 0.6431646347045898
Location: Pontotoc, Oklahoma, Label: 0.6370548605918884
Location: Owen, Kentucky, Label: 0.6308637857437134
Location: Woodward, Oklahoma, Label: 0.596418023109436
Location: Dickson, Tennessee, Label: 0.5509130954742432
Location: Hawkins, Tennessee, Label: 0.5400311350822449
Location: Grady, Oklahoma, Label: 0.4962378442287445
Location: Robertson, Tennessee, Label: 0.4942234754562378
Location: Otero, New Mexico, Label: 0.4752219617366791
Location: Newton, Arkansas, Label: 0.46351245045661926
Location: Ector, Texas, Label: 0.4030616879463196
Location: Henderson, Kentucky, Label: 0.24851973354816437
Location: Grant, Kentucky, Label: 0.24160417914390564
Location: Grant, New Mexico, Label: 0.15911933779716492
Location: Union, New Mexico, Label: 0.0
Location: Moore, Texas, Label: 0.0
Location: Hartley, Texas, Label: 0.0
Location: Taos, New Mexico, Label: 0.0
Location: Santa Fe, New Mexico, Label: 0.0
Location: Harding, New Mexico, Label: 0.0
Location: Armstrong, Texas, Label: 0.0
Location: Valencia, New Mexico, Label: 0.0
